latitude,longitude
43.22,-87.66
43.22,-87.62
43.22,-87.58
43.22,-87.54
43.22,-87.5
43.22,-87.46
43.22,-87.42
43.22,-87.38
43.22,-87.34
43.22,-87.3
43.22,-87.26
43.22,-87.22
43.22,-87.18
43.22,-87.14
43.22,-87.1
43.22,-87.06
43.22,-87.02
43.22,-86.98
43.22,-86.94
43.22,-86.9
43.22,-86.86
43.22,-86.82
43.22,-86.78
43.22,-86.74
43.22,-86.7
43.22,-86.66
43.22,-86.62
43.22,-86.58
43.22,-86.54
43.22,-86.5
43.22,-86.46
43.22,-86.42
43.22,-86.38
43.26,-87.9
43.26,-87.86
43.26,-87.82
43.26,-87.78
43.26,-87.74
43.26,-87.7
43.26,-87.66
43.26,-87.62
43.26,-87.58
43.26,-87.54
43.26,-87.5
43.26,-87.46
43.26,-87.42
43.26,-87.38
43.26,-87.34
43.26,-87.3
43.26,-87.26
43.26,-87.22
43.26,-87.18
43.26,-87.14
43.26,-87.1
43.26,-87.06
43.26,-87.02
43.26,-86.98
43.26,-86.94
43.26,-86.9
43.26,-86.86
43.26,-86.82
43.26,-86.78
43.26,-86.74
43.26,-86.7
43.26,-86.66
43.26,-86.62
43.26,-86.58
43.26,-86.54
43.26,-86.5
43.26,-86.46
43.26,-86.42
43.26,-86.38
43.3,-87.86
43.3,-87.82
43.3,-87.78
43.3,-87.74
43.3,-87.7
43.3,-87.66
43.3,-87.62
43.3,-87.58
43.3,-87.54
43.3,-87.5
43.3,-87.46
43.3,-87.42
43.3,-87.38
43.3,-87.34
43.3,-87.3
43.3,-87.26
43.3,-87.22
43.3,-87.18
43.3,-87.14
43.3,-87.1
43.3,-87.06
43.3,-87.02
43.3,-86.98
43.3,-86.94
43.3,-86.9
43.3,-86.86
43.3,-86.82
43.3,-86.78
43.3,-86.74
43.3,-86.7
43.3,-86.66
43.3,-86.62
43.3,-86.58
43.3,-86.54
43.3,-86.5
43.3,-86.46
43.3,-86.42
43.34,-87.86
43.34,-87.82
43.34,-87.78
43.34,-87.74
43.34,-87.7
43.34,-87.66
43.34,-87.62
43.34,-87.58
43.34,-87.54
43.34,-87.5
43.34,-87.46
43.34,-87.42
43.34,-87.38
43.34,-87.34
43.34,-87.3
43.34,-87.26
43.34,-87.22
43.34,-87.18
43.34,-87.14
43.34,-87.1
43.34,-87.06
43.34,-87.02
43.34,-86.98
43.34,-86.94
43.34,-86.9
43.34,-86.86
43.34,-86.82
43.34,-86.78
43.34,-86.74
43.34,-86.7
43.34,-86.66
43.34,-86.62
43.34,-86.58
43.34,-86.54
43.34,-86.5
43.34,-86.46
43.38,-87.86
43.38,-87.82
43.38,-87.78
43.38,-87.74
43.38,-87.7
43.38,-87.66
43.38,-87.62
43.38,-87.58
43.38,-87.54
43.38,-87.5
43.38,-87.46
43.38,-87.42
43.38,-87.38
43.38,-87.34
43.38,-87.3
43.38,-87.26
43.38,-87.22
43.38,-87.18
43.38,-87.14
43.38,-87.1
43.38,-87.06
43.38,-87.02
43.38,-86.98
43.38,-86.94
43.38,-86.9
43.38,-86.86
43.38,-86.82
43.38,-86.78
43.38,-86.74
43.38,-86.7
43.38,-86.66
43.38,-86.62
43.38,-86.58
43.38,-86.54
43.38,-86.5
43.38,-86.46
43.42,-87.82
43.42,-87.78
43.42,-87.74
43.42,-87.7
43.42,-87.66
43.42,-87.62
43.42,-87.58
43.42,-87.54
43.42,-87.5
43.42,-87.46
43.42,-87.42
43.42,-87.38
43.42,-87.34
43.42,-87.3
43.42,-87.26
43.42,-87.22
43.42,-87.18
43.42,-87.14
43.42,-87.1
43.42,-87.06
43.42,-87.02
43.42,-86.98
43.42,-86.94
43.42,-86.9
43.42,-86.86
43.42,-86.82
43.42,-86.78
43.42,-86.74
43.42,-86.7
43.42,-86.66
43.42,-86.62
43.42,-86.58
43.42,-86.54
43.42,-86.5
43.46,-87.78
43.46,-87.74
43.46,-87.7
43.46,-87.66
43.46,-87.62
43.46,-87.58
43.46,-87.54
43.46,-87.5
43.46,-87.46
43.46,-87.42
43.46,-87.38
43.46,-87.34
43.46,-87.3
43.46,-87.26
43.46,-87.22
43.46,-87.18
43.46,-87.14
43.46,-87.1
43.46,-87.06
43.46,-87.02
43.46,-86.98
43.46,-86.94
43.46,-86.9
43.46,-86.86
43.46,-86.82
43.46,-86.78
43.46,-86.74
43.46,-86.7
43.46,-86.66
43.46,-86.62
43.46,-86.58
43.46,-86.54
43.46,-86.5
43.5,-87.78
43.5,-87.74
43.5,-87.7
43.5,-87.66
43.5,-87.62
43.5,-87.58
43.5,-87.54
43.5,-87.5
43.5,-87.46
43.5,-87.42
43.5,-87.38
43.5,-87.34
43.5,-87.3
43.5,-87.26
43.5,-87.22
43.5,-87.18
43.5,-87.14
43.5,-87.1
43.5,-87.06
43.5,-87.02
43.5,-86.98
43.5,-86.94
43.5,-86.9
43.5,-86.86
43.5,-86.82
43.5,-86.78
43.5,-86.74
43.5,-86.7
43.5,-86.66
43.5,-86.62
43.5,-86.58
43.5,-86.54
43.5,-86.5
43.54,-87.78
43.54,-87.74
43.54,-87.7
43.54,-87.66
